Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Kennewick-Richland, WA","42,108","43,064","44,256",227,2.3,2.8,373,
"Killeen-Temple, TX","39,588","40,717","41,634",284,2.9,2.3,379,
"Kingsport-Bristol, TN-VA","37,138","38,369","40,042",317,3.3,4.4,221,
"Kingston, NY","46,211","48,508","50,462",114,5.0,4.0,279,
"Knoxville, TN","42,630","43,770","45,739",201,2.7,4.5,194,
"Kokomo, IN","39,019","39,916","41,842",280,2.3,4.8,134,
"La Crosse-Onalaska, WI-MN","46,389","48,094","50,412",116,3.7,4.8,137,
"Lafayette, LA","40,468","41,832","44,273",226,3.4,5.8,44,
"Lafayette-West Lafayette, IN","36,328","37,534","39,969",320,3.3,6.5,19,
"Lake Charles, LA","44,556","46,206","49,011",136,3.7,6.1,35,
"Lake Havasu City-Kingman, AZ","30,286","31,742","33,148",381,4.8,4.4,206,
"Lakeland-Winter Haven, FL","33,333","34,591","35,463",375,3.8,2.5,376,
"Lancaster, PA","47,611","49,961","52,664",88,4.9,5.4,67,
"Lansing-East Lansing, MI","38,917","39,981","41,812",281,2.7,4.6,177,
"Laredo, TX","29,448","30,153","31,635",382,2.4,4.9,121,
"Las Cruces, NM","34,516","35,144","36,570",369,1.8,4.1,276,
"Las Vegas-Henderson-Paradise, NV","43,573","45,087","47,090",164,3.5,4.4,204,
"Lawrence, KS","40,244","41,899","43,642",244,4.1,4.2,262,
"Lawton, OK","38,876","39,614","41,509",288,1.9,4.8,140,
"Lebanon, PA","44,177","46,194","48,352",145,4.6,4.7,161,
"Lewiston, ID-WA","41,957","43,771","45,368",208,4.3,3.6,328,
"Lewiston-Auburn, ME","38,311","39,600","41,528",287,3.4,4.9,127,
"Lexington-Fayette, KY","44,855","46,387","47,875",153,3.4,3.2,355,
"Lima, OH","39,146","40,712","42,816",262,4.0,5.2,94,
"Lincoln, NE","45,866","47,575","49,886",122,3.7,4.9,129,
"Little Rock-North Little Rock-Conway, AR","42,963","43,901","45,512",204,2.2,3.7,322,
"Logan, UT-ID","35,406","37,269","38,690",342,5.3,3.8,305,
"Longview, TX","39,150","39,526","41,630",285,1.0,5.3,75,
"Longview, WA","41,827","43,046","44,990",211,2.9,4.5,192,
"Los Angeles-Long Beach-Anaheim, CA","58,548","60,649","63,913",23,3.6,5.4,69,
"Louisville/Jefferson County, KY-IN","46,456","48,163","50,101",118,3.7,4.0,280,
"Lubbock, TX","39,579","40,416","42,181",272,2.1,4.4,218,
"Lynchburg, VA","37,598","38,720","40,374",308,3.0,4.3,234,
"Macon-Bibb County, GA","38,120","39,399","41,066",295,3.4,4.2,245,
"Madera, CA","37,209","38,062","39,897",321,2.3,4.8,136,
"Madison, WI","54,702","56,695","59,371",37,3.6,4.7,154,
"Manchester-Nashua, NH","56,615","58,305","61,147",29,3.0,4.9,126,
"Manhattan, KS","43,171","44,212","46,008",194,2.4,4.1,275,
"Mankato, MN","43,513","44,871","46,141",187,3.1,2.8,372,
"Mansfield, OH","36,368","37,865","39,234",334,4.1,3.6,330,
"McAllen-Edinburg-Mission, TX","25,111","25,451","26,410",384,1.4,3.8,312,
"Medford, OR","43,151","44,533","46,603",173,3.2,4.6,165,
"Memphis, TN-MS-AR","43,526","44,655","46,620",172,2.6,4.4,209,
"Merced, CA","36,786","38,037","38,519",346,3.4,1.3,383,
"Miami-Fort Lauderdale-Pompano Beach, FL","50,974","54,409","57,228",50,6.7,5.2,91,
"Michigan City-La Porte, IN","39,048","40,561","42,527",268,3.9,4.8,131,
"Midland, MI","47,499","58,229","60,467",33,22.6,3.8,301,
"Midland, TX","74,624","108,595","122,247",1,45.5,12.6,1,
"Milwaukee-Waukesha, WI","52,429","54,216","57,005",51,3.4,5.1,99,
"Minneapolis-St. Paul-Bloomington, MN-WI","58,345","60,167","62,889",24,3.1,4.5,190,
"Missoula, MT","44,646","47,086","49,492",128,5.5,5.1,103,
"Mobile, AL","35,961","36,705","38,170",350,2.1,4.0,287,
"Modesto, CA","41,417","42,354","44,120",231,2.3,4.2,257,
"Monroe, LA","38,093","38,726","40,482",304,1.7,4.5,185,
"Monroe, MI","43,757","45,498","47,496",156,4.0,4.4,212,
"Montgomery, AL","40,608","41,592","42,943",259,2.4,3.2,352,
"Morgantown, WV","38,911","40,728","42,509",269,4.7,4.4,217,
"Morristown, TN","33,656","34,280","35,829",373,1.9,4.5,191,
"Mount Vernon-Anacortes, WA","47,870","50,119","53,060",84,4.7,5.9,39,
"Muncie, IN","34,621","35,713","37,201",360,3.2,4.2,259,
"Muskegon, MI","36,235","37,207","39,072",335,2.7,5.0,108,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","36,563","37,565","38,700",341,2.7,3.0,365,
"Napa, CA","67,580","69,791","74,984",9,3.3,7.4,6,
"Naples-Marco Island, FL","83,659","87,092","92,686",5,4.1,6.4,22,
"Nashville-Davidson--Murfreesboro--Franklin, TN","53,704","55,382","57,953",46,3.1,4.6,168,
"New Bern, NC","41,019","41,547","43,257",252,1.3,4.1,266,
"New Haven-Milford, CT","52,621","53,605","56,650",54,1.9,5.7,49,
"New Orleans-Metairie, LA","48,244","49,799","52,431",90,3.2,5.3,78,
"New York-Newark-Jersey City, NY-NJ-PA","68,512","72,951","76,681",7,6.5,5.1,102,
"Niles, MI","44,018","45,651","47,430",158,3.7,3.9,296,
"North Port-Sarasota-Bradenton, FL","51,775","53,730","56,462",58,3.8,5.1,104,
"Norwich-New London, CT","54,805","56,545","59,264",39,3.2,4.8,138,
"Ocala, FL","34,506","35,719","36,997",362,3.5,3.6,334,
"Ocean City, NJ","55,995","57,976","60,877",32,3.5,5.0,111,
"Odessa, TX","37,676","42,548","47,271",160,12.9,11.1,2,
"Ogden-Clearfield, UT","40,498","41,795","43,988",236,3.2,5.2,82,
"Oklahoma City, OK","44,460","45,951","48,571",143,3.4,5.7,48,
"Olympia-Lacey-Tumwater, WA","47,328","48,820","51,684",99,3.2,5.9,40,
"Omaha-Council Bluffs, NE-IA","53,285","55,229","58,037",45,3.6,5.1,105,
"Orlando-Kissimmee-Sanford, FL","39,920","41,748","43,491",247,4.6,4.2,255,
"Oshkosh-Neenah, WI","44,662","46,131","48,101",151,3.3,4.3,235,
"Owensboro, KY","38,753","40,016","41,387",289,3.3,3.4,345,
"Oxnard-Thousand Oaks-Ventura, CA","57,136","58,761","61,712",27,2.8,5.0,107,
"Palm Bay-Melbourne-Titusville, FL","41,793","43,371","45,425",207,3.8,4.7,147,
"Panama City, FL","41,019","41,499","43,231",253,1.2,4.2,256,
"Parkersburg-Vienna, WV","37,757","39,010","41,988",277,3.3,7.6,4,
"Pensacola-Ferry Pass-Brent, FL","40,315","41,592","43,259",251,3.2,4.0,283,
"Peoria, IL","45,463","45,851","48,870",138,0.9,6.6,18,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","60,105","61,094","64,440",20,1.6,5.5,63,
"Phoenix-Mesa-Chandler, AZ","42,460","44,208","46,125",190,4.1,4.3,224,
"Pine Bluff, AR","32,372","33,224","34,554",378,2.6,4.0,285,
"Pittsburgh, PA","51,681","54,471","58,072",44,5.4,6.6,16,
